City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Nhulunbuy,AU,2021-06-08 14:07:02,-12.2333,136.7667,75.81,88,40,8.05
248,Makungu,TZ,2021-06-08 14:07:02,-8.7333,35.2833,69.3,60,51,6.4
249,Mosquera,CO,2021-06-08 14:04:26,4.7059,-74.2302,56.97,82,98,1.9
250,Grindavik,IS,2021-06-08 14:07:02,63.8424,-22.4338,50.56,87,75,9.08
251,Korla,CN,2021-06-08 14:07:03,41.7597,86.1469,85.08,20,33,7.58
252,Lethem,GY,2021-06-08 14:07:03,3.3803,-59.7968,83.03,74,67,8.84
253,East London,ZA,2021-06-08 14:07:03,-33.0153,27.9116,73.11,48,33,6.15
254,Balikpapan,ID,2021-06-08 14:07:04,-1.2675,116.8289,78.04,83,65,1.9
255,Garowe,SO,2021-06-08 14:05:18,8.4054,48.4845,94.64,26,3,20.24
256,Likasi,CD,2021-06-08 14:07:04,-10.9814,26.7333,76.41,36,3,5.23
257,Fredericton,CA,2021-06-08 14:03:12,45.9454,-66.6656,85.37,62,94,7.0
258,Mareeba,AU,2021-06-08 14:07:04,-17.0,145.4333,65.44,95,41,1.01
259,Muriti,TZ,2021-06-08 14:07:05,-1.9833,32.9167,76.53,55,51,6.35
260,Mossendjo,CG,2021-06-08 14:07:05,-2.9506,12.7261,79.41,83,40,3.47
261,Churapcha,RU,2021-06-08 14:07:05,62.0025,132.4325,56.46,66,80,7.4
262,Rendsburg,DE,2021-06-08 14:07:05,54.3,9.6667,75.31,33,20,8.05
263,Mandera,KE,2021-06-08 14:07:06,3.9366,41.867,94.21,30,18,20.94
264,Vryheid,ZA,2021-06-08 14:07:06,-27.7695,30.7917,64.24,33,3,7.87
265,Biu,NG,2021-06-08 14:07:06,10.6129,12.1946,93.61,31,25,3.33
266,Saint-Pierre,RE,2021-06-08 14:07:07,-21.3393,55.4781,73.08,62,40,17.27
267,Port Blair,IN,2021-06-08 14:07:07,11.6667,92.75,81.73,84,100,16.44
268,Talnakh,RU,2021-06-08 14:07:07,69.4865,88.3972,34.36,87,97,1.99
269,Torbay,CA,2021-06-08 14:07:07,47.6666,-52.7314,81.88,70,8,20.87
270,Kut Chap,TH,2021-06-08 14:02:11,17.4257,102.5669,80.4,93,100,2.21
271,Bathsheba,BB,2021-06-08 14:07:08,13.2167,-59.5167,88.41,55,40,19.71
272,Rudnogorsk,RU,2021-06-08 14:07:08,57.2639,103.7519,49.6,46,75,4.27
273,Ketchikan,US,2021-06-08 14:07:08,55.3422,-131.6461,50.47,87,1,10.36
274,Saint-Ambroise,CA,2021-06-08 14:07:09,48.5501,-71.3324,79.57,52,5,10.13
275,Nara,JP,2021-06-08 14:07:09,34.6851,135.8049,76.28,59,5,1.81
276,Tranas,SE,2021-06-08 14:07:09,58.0372,14.9782,72.37,37,94,5.97
277,Tonj,SS,2021-06-08 14:07:10,7.2737,28.6822,97.93,27,56,5.82
278,Basugaon,IN,2021-06-08 14:07:10,26.4667,90.4,78.93,89,3,1.97
279,Qaqortoq,GL,2021-06-08 14:07:10,60.7167,-46.0333,64.9,75,21,7.74
280,Abong Mbang,CM,2021-06-08 14:07:10,3.9833,13.1833,79.11,74,99,4.07
281,Rundu,NA,2021-06-08 14:07:11,-17.9333,19.7667,81.84,19,0,2.68
282,Saint-Francois,FR,2021-06-08 14:07:11,46.4154,3.9054,75.42,50,90,9.22
283,Phra Phutthabat,TH,2021-06-08 14:07:11,14.7253,100.7954,85.66,88,100,10.54
284,Znamenskoye,RU,2021-06-08 14:07:12,57.1281,73.8282,55.27,47,53,7.63
285,Madaoua,NE,2021-06-08 14:07:12,14.073,5.96,107.13,14,13,7.56
286,Ambon,ID,2021-06-08 14:07:12,-3.6954,128.1814,80.15,82,46,9.66
287,Katsuura,JP,2021-06-08 14:07:12,35.1333,140.3,74.1,78,57,16.62
288,Manokwari,ID,2021-06-08 14:07:13,-0.8667,134.0833,78.94,81,49,3.8
289,Raudeberg,NO,2021-06-08 14:07:13,61.9875,5.1352,64.0,81,14,2.19
290,Bontang,ID,2021-06-08 14:03:26,0.1333,117.5,81.55,78,93,5.82
291,Akureyri,IS,2021-06-08 14:07:13,65.6835,-18.0878,56.25,48,86,3.53
292,Eyrarbakki,IS,2021-06-08 14:07:14,63.863,-21.1481,52.21,75,89,7.16
